,Movie,Distributor,Genre,MPAA,Book_Based,Production_Budget,Worldwide_Gross,Release Year,award_winning,Genre_Number
582,About Time,Universal,Romantic Comedy,R,0,"$12,000,000","$89,309,178",2013,0,8
583,The Last Exorcism Part II,CBS Films,Horror,PG-13,0,"$4,000,000","$25,448,707",2013,0,2
584,Spring Breakers,A24,Thriller/Suspense,R,0,"$5,000,000","$31,149,251",2013,0,6
585,Texas Chainsaw 3D,Lionsgate,Horror,R,0,"$20,000,000","$47,666,013",2013,0,2
586,The Last Stand,Lionsgate,Action,R,0,"$30,000,000","$48,330,757",2013,1,1
587,Dead Man Down,FilmDistrict,Thriller/Suspense,R,0,"$30,000,000","$19,599,974",2013,1,6
588,Getaway,Warner Bros.,Thriller/Suspense,PG-13,0,"$18,000,000","$11,813,989",2013,1,6
589,Bullet to the Head,Warner Bros.,Action,R,0,"$55,000,000","$22,597,969",2013,0,1
590,Peeples,Lionsgate,Romantic Comedy,PG-13,0,"$15,000,000","$9,307,166",2013,0,8
591,Movie 43,Relativity,Comedy,R,0,"$10,000,000","$31,164,747",2013,1,0
592,Before Midnight,Sony Pictures Classics,Drama,R,0,"$3,000,000","$23,251,930",2013,0,5
593,Machete Kills,Open Road,Action,R,0,"$20,000,000","$18,273,009",2013,0,1
594,Paranoia,Relativity,Thriller/Suspense,PG-13,0,"$40,000,000","$16,340,767",2013,1,6
595,The Spectacular Now,A24,Drama,R,0,"$2,500,000","$6,916,951",2013,0,5
596,Amour,Sony Pictures Classics,Drama,PG-13,0,"$9,700,000","$36,787,044",2012,0,5
597,Rise of the Guardians,Paramount Pictures,Adventure,PG,0,"$145,000,000","$306,900,902",2012,0,4
598,The Guilt Trip,Paramount Pictures,Comedy,PG-13,0,"$40,000,000","$41,294,674",2012,1,0
599,"Monsters, Inc.",Walt Disney,Adventure,G,0,"$115,000,000","$559,757,719",2001,1,4
600,The To Do List,CBS Films,Comedy,R,0,"$1,500,000","$4,128,828",2013,0,0
601,The Fifth Estate,Walt Disney,Drama,R,0,"$26,000,000","$6,154,172",2013,0,5
602,Home Run,Samuel Goldwyn Films,Drama,PG-13,0,"$1,200,000","$2,859,955",2013,0,5
603,Filly Brown,Lionsgate,Drama,R,0,"$1,250,000","$2,940,411",2013,0,5
604,Grace Unplugged,Roadside Attractions,Drama,PG,0,"$1,700,000","$2,507,159",2013,0,5
605,Trance,Fox Searchlight,Thriller/Suspense,R,0,"$16,000,000","$22,594,052",2013,0,6
606,The East,Fox Searchlight,Drama,PG-13,0,"$6,500,000","$3,027,956",2013,0,5
607,Hotel Transylvania,Sony Pictures,Adventure,PG,0,"$85,000,000","$378,505,812",2012,0,4
608,Stoker,Fox Searchlight,Drama,R,0,"$12,000,000","$12,034,913",2013,1,5
609,Cirque du Soleil: Worlds Away,Paramount Pictures,Drama,PG,0,"$25,000,000","$28,012,862",2012,1,5
610,The Christmas Candle,Echolight Studios,Adventure,PG,0,"$7,000,000","$1,933,829",2013,0,4
611,Beasts of the Southern Wild,Fox Searchlight,Drama,PG-13,0,"$1,800,000","$23,265,132",2012,0,5
612,Flight,Paramount Pictures,Drama,R,0,"$31,000,000","$160,558,438",2012,1,5
613,Anna Karenina,Focus Features,Drama,R,1,"$49,000,000","$71,004,627",2012,0,5
614,Here Comes the Boom,Sony Pictures,Comedy,PG,0,"$42,000,000","$73,239,258",2012,1,0
615,Phantom,RCR Media Group,Thriller/Suspense,R,0,"$18,000,000","$1,199,510",2013,0,6
